round_epochs,val_loss,val_main_output_loss,val_sec_output_loss,val_main_output_score,val_sec_output_score,loss,main_output_loss,sec_output_loss,main_output_score,sec_output_score,Dlayers,Llayers,batch_size,drpout,nodes
1,0.022889318215835598,0.003846130333840847,0.09525343775749207,-0.0038461298681795597,-0.09525340795516968,0.14088495816115282,0.103498064,0.17931831,-0.10349806,-0.17931831,1,2,32,0.5,100
1,0.27826558618709957,0.23059597611427307,0.23490098118782043,-0.23059597611427307,-0.23490095138549805,0.28605043101939653,0.23794772,0.23860446,-0.23794772,-0.23860446,1,2,128,0,10
1,0.24184636389158695,0.19791297614574432,0.22055785357952118,-0.19791297614574432,-0.22055788338184357,0.2754097705479148,0.22699906,0.23653933,-0.22699907,-0.23653933,1,2,128,0,50
1,0.13418058691353635,0.09870090335607529,0.171782448887825,-0.0987008735537529,-0.17178241908550262,0.24320331494585215,0.19538447,0.22126785,-0.19538446,-0.22126786,1,2,128,0,100
1,0.2783511783428119,0.23073367774486542,0.2365073263645172,-0.23073367774486542,-0.2365073412656784,0.2862328957596557,0.23798864,0.24013138,-0.23798864,-0.24013141,1,2,128,0.2,10
1,0.1989134444473347,0.15914849936962128,0.1999046504497528,-0.15914849936962128,-0.1999046504497528,0.2639755876944791,0.21579462,0.2312359,-0.21579461,-0.23123592,1,2,128,0.2,50
1,0.14709493369434984,0.11063019186258316,0.1813308298587799,-0.11063017696142197,-0.1813308149576187,0.24509125704959714,0.19680798,0.22427623,-0.19680798,-0.22427621,1,2,128,0.2,100
1,0.2759579271649035,0.22829870879650116,0.2347346544265747,-0.22829873859882355,-0.2347346842288971,0.2844680523129104,0.23637581,0.23911206,-0.23637584,-0.23911206,1,2,128,0.5,10
1,0.22850403943281064,0.18654343485832214,0.20721015334129333,-0.18654343485832214,-0.20721015334129333,0.2754781874535467,0.22732835,0.23430368,-0.22732836,-0.23430368,1,2,128,0.5,50
1,0.14581842903204806,0.11065993458032608,0.16821005940437317,-0.1106598824262619,-0.16821002960205078,0.256712931751919,0.20924751,0.22175825,-0.20924748,-0.22175825,1,2,128,0.5,100
1,0.08645313929666505,0.0704081580042839,0.07871311902999878,-0.07040804624557495,-0.07871300727128983,0.2296725170968248,0.18884587,0.19390772,-0.18884586,-0.19390775,1,3,32,0,10
