round_epochs,val_loss,val_score,loss,score,Llayers,batch_size,nodes,Dtype
100,0.002148744681752,-0.002148048486560583,0.0018981362104755783,-0.0019006944494321942,1,128,50,T_1_1
100,0.0018050662462546568,-0.0018091831589117646,0.0013825751694550243,-0.0013824105262756348,1,128,100,T_1_1
100,0.002098784643117965,-0.0020947072189301252,0.0019628337117980517,-0.001962608192116022,2,32,10,T_1_1
100,0.0016204143800554638,-0.0016166234854608774,0.001229732460977656,-0.0012297674547880888,2,32,50,T_1_1
100,0.0013551219938007927,-0.0013524889945983887,0.0007376272866872273,-0.0007376660942099988,2,32,100,T_1_1
100,0.0023106026420625057,-0.0023134571965783834,0.002203104205663228,-0.002201642608270049,2,128,10,T_1_1
100,0.0018566023858462225,-0.0018539619632065296,0.0015998747328274862,-0.0015989112434908748,2,128,50,T_1_1
100,0.0015893685477838377,-0.0015885826433077455,0.0011534968855282746,-0.0011535481316968799,2,128,100,T_1_1
100,0.0021940752874753705,-0.0021918013226240873,0.0018588336435468454,-0.0018589193932712078,3,32,10,T_1_1
100,0.0015701650347544464,-0.0015671590808779001,0.0011264026829650444,-0.0011262869229540229,3,32,50,T_1_1
100,0.001459007313298268,-0.0014560614945366979,0.000734954495165609,-0.0007349649677053094,3,32,100,T_1_1
100,0.0021190017886540033,-0.002121841302141547,0.002080485403329885,-0.00207830173894763,3,128,10,T_1_1
100,0.0018198460886617032,-0.0018198307370766997,0.001535628295487277,-0.0015341007383540273,3,128,50,T_1_1
100,0.0015168567422105973,-0.0015135316643863916,0.0011122014667222166,-0.0011123953154310584,3,128,100,T_1_1
100,0.007636278308137843,-0.007607184816151857,0.007153965725725699,-0.007149812299758196,1,32,10,T_1_2
100,0.006049856685591891,-0.006023650523275137,0.004983272656897058,-0.0049784425646066666,1,32,50,T_1_2
100,0.005097251147950536,-0.005083297844976187,0.002792439673243536,-0.00279036583378911,1,32,100,T_1_2
100,0.00847179955895164,-0.008483301848173141,0.008028992267267955,-0.008031502366065979,1,128,10,T_1_2
100,0.007297081271573654,-0.007313773967325687,0.006438424999548473,-0.006411687936633825,1,128,50,T_1_2
100,0.00570498210655628,-0.005704977083951235,0.004245729180297415,-0.004233182407915592,1,128,100,T_1_2
100,0.0073785837060429595,-0.007344013545662165,0.007000435063603138,-0.007011954206973314,2,32,10,T_1_2
100,0.005338120844963661,-0.005329822655767202,0.003802975975728684,-0.0038010196294635534,2,32,50,T_1_2
100,0.0038352766157028428,-0.0038195571396499872,0.0016578738064428422,-0.00166532420553267,2,32,100,T_1_2
100,0.007678810683769744,-0.007688590791076422,0.00754352599325105,-0.0075227185152471066,2,128,10,T_1_2
100,0.006444899621751839,-0.006455999333411455,0.005795138828582084,-0.0057647679932415485,2,128,50,T_1_2
100,0.0050438582707545586,-0.005030658096075058,0.0036500200142906654,-0.0036377774085849524,2,128,100,T_1_2
100,0.007293585552200043,-0.007262822240591049,0.006862331809321822,-0.006880424451082945,3,32,10,T_1_2
100,0.005107670245714403,-0.005093112122267485,0.003163729529937575,-0.0031676285434514284,3,32,50,T_1_2
100,0.0033912079628665437,-0.0033814548514783382,0.0013984806422851568,-0.0013974785106256604,3,32,100,T_1_2
100,0.007330970558694521,-0.007335481233894825,0.007607298370848212,-0.007633533328771591,3,128,10,T_1_2
100,0.006024785035617026,-0.006034721154719591,0.005171169336712968,-0.005233799573034048,3,128,50,T_1_2
100,0.004377211951584233,-0.004373597446829081,0.0029250078208167057,-0.0029095420613884926,3,128,100,T_1_2
100,0.0021145478073425657,-0.0021211591083556414,0.0020293189159537764,-0.0020290084648877382,1,32,10,T_2_1
100,0.0013328795853752256,-0.0013383821351453662,0.0010523204794310281,-0.0010518289636820555,1,32,50,T_2_1
100,0.0007152409874317816,-0.0007129788282327354,0.0004599841656700144,-0.0004598755622282624,1,32,100,T_2_1
100,0.0022700084621180817,-0.002270424272865057,0.002030188565220224,-0.002027774229645729,1,128,10,T_2_1
100,0.0017795076490406089,-0.0017764234216883779,0.0014323614662365227,-0.0014380239881575108,1,128,50,T_2_1
100,0.001093681075427404,-0.0010932491859421134,0.000901300385498894,-0.0008971117786131799,1,128,100,T_2_1
100,0.0020324837592761926,-0.002040938241407275,0.0017514762806953858,-0.0017530742334201932,2,32,10,T_2_1
100,0.0009327111535874795,-0.0009301723330281675,0.0007041013522710928,-0.0007033931906335056,2,32,50,T_2_1
100,0.0004198214021158314,-0.00042037307866849005,0.00022895880253751311,-0.00022888505191076547,2,32,100,T_2_1
